uf,municipio,qtde,latitude,longitude
AC,ACRELANDIA,13,-9.82581,-66.8972
AC,ASSIS BRASIL,5,-10.9298,-69.5738
AC,BRASILEIA,20,-10.995,-68.7497
AC,BUJARI,10,-9.81528,-67.955
AC,CAPIXABA,8,-10.566,-67.686
AC,CRUZEIRO DO SUL,80,-7.6276199999999985,-72.6756
AC,EPITACIOLANDIA,17,-11.0188,-68.7341
AC,FEIJO,12,-8.170539999999999,-70.351
AC,JORDAO,4,-9.43091,-71.8974
AC,MANCIO LIMA,9,-7.6165699999999985,-72.8997
AC,MANOEL URBANO,11,-8.83291,-69.2679
AC,MARECHAL THAUMATURGO,2,-8.93898,-72.7997
AC,PLACIDO DE CASTRO,20,-10.2806,-67.1371
AC,PORTO ACRE,14,-9.58138,-67.5478
AC,PORTO WALTER,2,-8.26323,-72.7537
AC,RIO BRANCO,677,-9.97499,-67.8243
AC,RODRIGUES ALVES,6,-7.738639999999998,-72.661
AC,SANTA ROSA DO PURUS,1,-9.44652,-70.4902
AC,SENA MADUREIRA,41,-9.06596,-68.6571
AC,SENADOR GUIOMARD,28,-10.1497,-67.7362
AC,TARAUACA,16,-8.15697,-70.7722
AC,XAPURI,11,-10.6516,-68.4969
AL,AGUA BRANCA,7,-9.262,-37.938
AL,ANADIA,10,-9.68489,-36.3078
AL,ARAPIRACA,163,-9.75487,-36.6615
AL,ATALAIA,15,-9.5119,-36.0086
AL,BARRA DE SANTO ANTONIO,6,-9.4023,-35.5101
AL,BARRA DE SAO MIGUEL,8,-9.83842,-35.9057
AL,BATALHA,11,-9.6742,-37.133
AL,BELEM,3,-9.57047,-36.4904
AL,BELO MONTE,2,-9.82272,-37.277
AL,BOCA DA MATA,11,-9.64308,-36.2125
AL,BRANQUINHA,3,-9.23342,-36.0162
AL,CACIMBINHAS,6,-9.40121,-36.9911
AL,CAJUEIRO,10,-9.3994,-36.1559
AL,CAMPESTRE,2,-8.84723,-35.5685
AL,CAMPO ALEGRE,26,-9.78451,-36.3525
AL,CAMPO GRANDE,6,-9.95542,-36.7926
AL,CANAPI,6,-9.11932,-37.5967
AL,CAPELA,9,-9.41504,-36.0826
AL,CARNEIROS,4,-9.48476,-37.3773
AL,CHA PRETA,4,-9.2556,-36.2983
AL,COITE DO NOIA,6,-9.63348,-36.5845
AL,COLONIA LEOPOLDINA,9,-8.91806,-35.7214
AL,COQUEIRO SECO,5,-9.63715,-35.7994
AL,CORURIPE,41,-10.1276,-36.1717
AL,CRAIBAS,7,-9.6178,-36.7697
AL,DELMIRO GOUVEIA,34,-9.38534,-37.9987
AL,DOIS RIACHOS,6,-9.38465,-37.0965
AL,ESTRELA DE ALAGOAS,6,-9.39089,-36.7644
AL,FEIRA GRANDE,6,-9.89859,-36.6815
AL,FELIZ DESERTO,4,-10.2935,-36.3028
AL,FLEXEIRAS,5,-9.27281,-35.7139
AL,GIRAU DO PONCIANO,10,-9.88404,-36.8316
AL,IBATEGUARA,8,-8.97823,-35.9373
AL,IGACI,18,-9.53768,-36.6372
AL,IGREJA NOVA,6,-10.1235,-36.6597
AL,INHAPI,6,-9.22594,-37.7509
AL,JACARE DOS HOMENS,5,-9.63545,-37.2076
AL,JACUIPE,3,-8.83951,-35.4591
AL,JAPARATINGA,7,-9.08746,-35.2634
AL,JARAMATAIA,3,-9.66224,-37.0046
AL,JEQUIA DA PRAIA,4,-10.0133,-36.0142
AL,JOAQUIM GOMES,7,-9.1328,-35.7474
AL,JUNDIA,3,-8.93297,-35.5669
AL,JUNQUEIRO,18,-9.90696,-36.4803
AL,LAGOA DA CANOA,8,-9.83291,-36.7413
AL,LIMOEIRO DE ANADIA,10,-9.74098,-36.5121
AL,MACEIO,1033,-9.66599,-35.735
AL,MAJOR ISIDORO,8,-9.53009,-36.992
AL,MAR VERMELHO,1,-9.44739,-36.3881
AL,MARAGOGI,10,-9.00744,-35.2267
AL,MARAVILHA,5,-9.23045,-37.3524
AL,MARECHAL DEODORO,38,-9.70971,-35.8967
AL,MARIBONDO,8,-9.58353,-36.3045
AL,MATA GRANDE,10,-9.11824,-37.7323
AL,MATRIZ DE CAMARAGIBE,13,-9.15437,-35.5243
AL,MESSIAS,14,-9.39384,-35.8392
AL,MINADOR DO NEGRAO,3,-9.31236,-36.8696
AL,MONTEIROPOLIS,2,-9.60357,-37.2505
AL,MURICI,15,-9.30682,-35.9428
AL,NOVO LINO,6,-8.94191,-35.664
AL,OLHO D'AGUA DAS FLORES,9,-9.53686,-37.2971
AL,OLHO D'AGUA DO CASADO,4,-9.50357,-37.8301
AL,OLHO D'AGUA GRANDE,2,-10.0572,-36.8101
AL,OLIVENCA,3,-9.51954,-37.1954
AL,OURO BRANCO,7,-9.15884,-37.3556
AL,PALESTINA,4,-9.67493,-37.339
AL,PALMEIRA DOS INDIOS,60,-9.40568,-36.6328
AL,PAO DE ACUCAR,12,-9.74032,-37.4403
AL,PARICONHA,6,-9.25634,-37.9988
AL,PARIPUEIRA,7,-9.46313,-35.552
AL,PASSO DE CAMARAGIBE,9,-9.24511,-35.4745
AL,PAULO JACINTO,2,-9.36792,-36.3672
AL,PENEDO,44,-10.2874,-36.5819
AL,PIACABUCU,11,-10.406,-36.434
AL,PILAR,27,-9.60135,-35.9543
AL,PINDOBA,2,-9.47382,-36.2918
AL,PIRANHAS,12,-9.624,-37.757
AL,POCO DAS TRINCHEIRAS,5,-9.30742,-37.2889
AL,PORTO CALVO,11,-9.05195,-35.3987
AL,PORTO DE PEDRAS,2,-9.16006,-35.3049
AL,PORTO REAL DO COLEGIO,6,-10.1849,-36.8376
AL,QUEBRANGULO,8,-9.32001,-36.4692
AL,RIO LARGO,54,-9.47783,-35.8394
AL,ROTEIRO,5,-9.83503,-35.9782
AL,SANTA LUZIA DO NORTE,4,-9.6037,-35.8232
AL,SANTANA DO IPANEMA,21,-9.36999,-37.24800000000001
AL,SANTANA DO MUNDAU,5,-9.17141,-36.2176
AL,SAO BRAS,3,-10.1141,-36.8522
AL,SAO JOSE DA LAJE,18,-9.01278,-36.0515
AL,SAO JOSE DA TAPERA,9,-9.55768,-37.3831
AL,SAO LUIS DO QUITUNDE,9,-9.31816,-35.5606
AL,SAO MIGUEL DOS CAMPOS,41,-9.78301,-36.0971
AL,SAO MIGUEL DOS MILAGRES,4,-9.26493,-35.3763
AL,SAO SEBASTIAO,15,-9.93043,-36.559
AL,SATUBA,12,-9.56911,-35.8227
AL,SENADOR RUI PALMEIRA,6,-9.46986,-37.4576
AL,TANQUE D'ARCA,2,-9.53379,-36.4366
AL,TAQUARANA,11,-9.64529,-36.4928
AL,TEOTONIO VILELA,19,-9.91656,-36.3492
AL,TRAIPU,8,-9.96262,-37.0071
AL,UNIAO DOS PALMARES,33,-9.15921,-36.0223
AL,VICOSA,11,-9.36763,-36.2431
AM,ALVARAES,2,-3.22727,-64.8007
AM,AMATURA,9,-3.37455,-68.2005
